,Gender,Age,Height,Built,State,District,Area,Railway
984,MALE,16,153.0,2,DELHI,MEHRAULI,SOUTH WEST,False
985,MALE,24,153.0,3,DELHI,SHAHBAD DAIRY,CENTRAL,False
986,MALE,6,92.0,3,DELHI,NABI KARIM,CENTRAL,False
987,MALE,30,153.0,2,DELHI,VASANT KUNJ SOUTH,SOUTH,False
988,MALE,18,122.0,5,DELHI,DWARKA NORTH,SOUTH WEST,False
989,MALE,28,153.0,2,DELHI,SULTAN PURI,NORTH WEST,False
990,MALE,25,153.0,2,DELHI,UTTAM NAGAR,WEST,False
991,MALE,21,153.0,2,DELHI,KHAJURI KHAS,NORTH EAST,False
992,MALE,18,153.0,2,DELHI,SHAKARPUR,EAST,False
993,MALE,32,153.0,5,DELHI,KAPASHERA,SOUTH WEST,False
994,MALE,9,122.0,2,DELHI,JAIT PUR,SOUTH EAST,False
995,MALE,20,153.0,3,DELHI,KALYANPURI,EAST,False
996,MALE,17,122.0,2,DELHI,NEW ASHOK NAGAR,EAST,False
997,MALE,10,92.0,2,DELHI,OLD DELHI (DELHI MAIN) RLY. STN.,CENTRAL,True
998,MALE,35,153.0,3,DELHI,TILAK MARG,CENTRAL,False
999,MALE,62,183.0,3,DELHI,WELCOME,NORTH EAST,False
1000,MALE,19,153.0,3,DELHI,K.M. PUR,SOUTH,False
1001,MALE,35,153.0,3,DELHI,SOUTH ROHINI,NORTH WEST,False
1002,MALE,24,153.0,2,DELHI,NARELA,NORTH,True
1003,MALE,23,153.0,3,DELHI,G.T.B. ENCLAVE,NORTH EAST,False
1004,MALE,22,153.0,3,DELHI,PASCHIM VIHAR,WEST,False
1005,MALE,12,122.0,2,DELHI,ASHOK VIHAR,NORTH WEST,False
1006,MALE,28,153.0,3,DELHI,PATEL NAGAR,CENTRAL,False
1007,MALE,30,153.0,3,DELHI,G.T.B. ENCLAVE,NORTH EAST,False
1008,MALE,23,153.0,2,DELHI,MAYA PURI,WEST,False
1009,MALE,5,61.0,2,DELHI,HAUZ KHAS,SOUTH,False
1010,MALE,30,153.0,2,DELHI,SAMAIPUR BADLI,CENTRAL,False
